TableName,Schema Backup,Data Backup,Custom Backup,Remarks
INT_SURPLUS_UNIT,y,n,n,
INT_SURPLUS_UNIT_2,n,n,n,
JUST,n,n,n,
LOGGING_ERRORS,y,n,n,not being used. Buts it has to be. Pls note
MANUAL_GS_101SS,y,n,n,
MISSING_INT_ADJ_UNITS_0306,n,n,n,
M_CHARGES_MAP,y,y,n,
M_CHARGE_DEFN,y,y,n,
M_COMPANY,y,y,n,
M_COMPANY_EMPLOYEE,y,y,n,
M_COMPANY_LOCATION,y,y,n,
M_COMPANY_METER,y,y,n,
M_COMPANY_SERVICE,y,y,n,
M_COMPANY_SERVICE2708,n,n,n,
M_COMPANY_SERVICE_02JAN2020,n,n,n,
M_COMPANY_SERVICE_1219,n,n,n,
M_COMPANY_SHAREHOLDER,y,y,n,
M_CORR_SS,n,n,n,
M_FEEDER,y,y,n,
M_FUEL,y,y,n,
M_GENERATOR,y,y,n,
M_LOSS_CALC_CHART,y,y,n,
M_LOV_DETAIL,y,y,n,
M_LOV_HEADER,y,y,n,
M_ORG,y,y,n,
M_POWERPLANT,y,y,n,
M_SECTION,y,y,n,
M_SIGNUP,y,n,n,
M_SIGNUP_TRADE_REL,y,n,n,
M_SUBSTATION,y,y,n,
M_SUBS_A,n,n,n,
M_SUBS_COPY,n,n,n,
M_TARIFF,y,y,n,
M_TARIFF_BKP02042019,n,n,n,
M_TRADE_RELATIONSHIP,y,y,n,
M_USER,n,n,n,
NEW_TEST,n,n,n,
OALIST_25022020,n,n,n,
OA_HT_CHARGES,y,n,n,don’t know purpose
OA_MANUAL_26022020,n,n,n,
OA_NOTKNOWN,y,n,n,
PROGRESS_REPORT,y,n,n,
REMC_VIEW,y,n,tbd,don’t know purpose
R_DISC_F_ENERGY,y,y,n,don’t know purpose
R_DISC_INT_ADJ,y,y,n,don’t know purpose
R_ENERGY_ADJUSTMENT,y,y,n,don’t know purpose
R_INT_MC_HIS,y,y,n,don’t know purpose
R_INT_METER_CHANGE,y,y,n,don’t know purpose
R_MC_HIS,y,y,n,don’t know purpose
R_MC_INT_HIS,y,y,n,don’t know purpose
R_METER_CHANGE,y,y,n,don’t know purpose
R_METER_CHANGE_FROM_AMR,y,y,n,don’t know purpose
R_METER_CHANGE_FROM_AMR_HIS,y,y,n,don’t know purpose
R_METER_CHANGE_INT,y,y,n,don’t know purpose
